items;lenItems;support;PBoarder;NBoarder;ClosedSet;FreeSet
(7,);1;0.8;[[0, 6], [2, 4], [0, 2, 3], [0, 1, 3], [0, 7], [0, 4], [0, 1, 2]];[[5], [8], [9]];[[[2, 4], 14], [[7], 16], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[0, 1], 16]];[[[2, 4], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[0, 7], 15], [[6], 15], [[1, 2], 14], [[0, 4], 14], [[8], 9], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 3], 14], [[2], 17], [[9], 9]];
(3,);1;0.85;[[0, 6], [2, 4], [0, 2, 3], [0, 1, 3], [0, 7], [0, 4], [0, 1, 2]];[[5], [8], [9]];[[[2, 4], 14], [[7], 16], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[0, 1], 16]];[[[2, 4], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[0, 7], 15], [[6], 15], [[1, 2], 14], [[0, 4], 14], [[8], 9], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 3], 14], [[2], 17], [[9], 9]];
(0,);1;0.95;[[0, 6], [2, 4], [0, 2, 3], [0, 1, 3], [0, 7], [0, 4], [0, 1, 2]];[[5], [8], [9]];[[[2, 4], 14], [[7], 16], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[0, 1], 16]];[[[2, 4], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[0, 7], 15], [[6], 15], [[1, 2], 14], [[0, 4], 14], [[8], 9], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 3], 14], [[2], 17], [[9], 9]];
(6,);1;0.75;[[0, 6], [2, 4], [0, 2, 3], [0, 1, 3], [0, 7], [0, 4], [0, 1, 2]];[[5], [8], [9]];[[[2, 4], 14], [[7], 16], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[0, 1], 16]];[[[2, 4], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[0, 7], 15], [[6], 15], [[1, 2], 14], [[0, 4], 14], [[8], 9], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 3], 14], [[2], 17], [[9], 9]];
(4,);1;0.75;[[0, 6], [2, 4], [0, 2, 3], [0, 1, 3], [0, 7], [0, 4], [0, 1, 2]];[[5], [8], [9]];[[[2, 4], 14], [[7], 16], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[0, 1], 16]];[[[2, 4], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[0, 7], 15], [[6], 15], [[1, 2], 14], [[0, 4], 14], [[8], 9], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 3], 14], [[2], 17], [[9], 9]];
(1,);1;0.8;[[0, 6], [2, 4], [0, 2, 3], [0, 1, 3], [0, 7], [0, 4], [0, 1, 2]];[[5], [8], [9]];[[[2, 4], 14], [[7], 16], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[0, 1], 16]];[[[2, 4], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[0, 7], 15], [[6], 15], [[1, 2], 14], [[0, 4], 14], [[8], 9], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 3], 14], [[2], 17], [[9], 9]];
(2,);1;0.85;[[0, 6], [2, 4], [0, 2, 3], [0, 1, 3], [0, 7], [0, 4], [0, 1, 2]];[[5], [8], [9]];[[[2, 4], 14], [[7], 16], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[0, 1], 16]];[[[2, 4], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[0, 7], 15], [[6], 15], [[1, 2], 14], [[0, 4], 14], [[8], 9], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 3], 14], [[2], 17], [[9], 9]];
(0, 6);2;0.7;[[0, 6], [2, 4], [0, 2, 3], [0, 1, 3], [0, 7], [0, 4], [0, 1, 2]];[[5], [8], [9]];[[[2, 4], 14], [[7], 16], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[0, 1], 16]];[[[2, 4], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[0, 7], 15], [[6], 15], [[1, 2], 14], [[0, 4], 14], [[8], 9], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 3], 14], [[2], 17], [[9], 9]];
(2, 4);2;0.7;[[0, 6], [2, 4], [0, 2, 3], [0, 1, 3], [0, 7], [0, 4], [0, 1, 2]];[[5], [8], [9]];[[[2, 4], 14], [[7], 16], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[0, 1], 16]];[[[2, 4], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[0, 7], 15], [[6], 15], [[1, 2], 14], [[0, 4], 14], [[8], 9], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 3], 14], [[2], 17], [[9], 9]];
(0, 7);2;0.75;[[0, 6], [2, 4], [0, 2, 3], [0, 1, 3], [0, 7], [0, 4], [0, 1, 2]];[[5], [8], [9]];[[[2, 4], 14], [[7], 16], [[0, 1, 3], 14], [[0], 19], [[0, 2, 3], 14], [[6], 15], [[0, 7], 15], [[0, 4], 14], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[0, 1, 2], 14], [[2], 17], [[0, 3], 17], [[0, 1], 16]];[[[2, 4], 14], [[7], 16], [[5], 7], [[3], 17], [[0], 19], [[0, 7], 15], [[6], 15], [[1, 2], 14], [[0, 4], 14], [[8], 9], [[4], 15], [[0, 6], 14], [[0, 2], 16], [[1], 16], [[1, 3], 14], [[2, 3], 14], [[2], 17], [[9], 9]];
